Modelo,Accuracy,Precision,Recall,F1,AUC,Tiempo (s)
XGBoost - scale_pos_weight + Reg(L1/L2),0.640611182077233,0.6053866557845338,0.6325551646945955,0.6186727831934525,0.694834700669909,2.1
XGBoost - scale_pos_weight + tree_method=hist,0.6353050997346958,0.5998368345910667,0.6270120456241339,0.6131234690154792,0.686689177755484,1.285
XGBoost - scale_pos_weight,0.6436081359929252,0.6106314365962758,0.6257328643001813,0.6180899231336211,0.6972933476771531,7.312
XGBoost - scale_pos_weight + tree_method=gpu_hist,0.6434607448167436,0.6107172643869891,0.6244536829762285,0.6175090918673904,0.6974765846993317,1.771
SVM - RBF + SMOTE,0.6434607448167436,0.6110646308303702,0.6228547063212877,0.6169033416037586,0.6929402735030649,109.36
SVM - SGDClassifier + SMOTE,0.6178146801611477,0.5810236698361319,0.6123014603986782,0.5962526599885815,,3.694
SVM - RBF (RFF Approx) + SMOTE,0.623415544856048,0.5910055154857871,0.5939665280886899,0.5924823222925195,,15.64
SVM - LinearSVC + SMOTE,0.6240051095607743,0.592327420388972,0.590875173222471,0.5916004055712685,,14.944
Ridge (LBFGS) + SMOTE,0.6262651075955586,0.5961621856027753,0.5861848417013111,0.5911314162859447,0.6800556759989412,23.866
Ridge (SAGA) + SMOTE,0.6263633683796797,0.596291476903058,0.5861848417013111,0.5911949685534591,0.680045747664901,95.629
Lasso (SAGA) + class_weight = balanced,0.6287707575906456,0.6011752965960749,0.5779767615392816,0.5893478260869566,0.68119153764374,264.187
Lasso (Liblinear) + class_weight = balanced,0.628721627198585,0.6011310711909514,0.5778701630956188,0.5892711560410892,0.6811873215018872,35.085
KNN - KDTree + SMOTE,0.5733516753463692,0.5347007866175446,0.57243364246882,0.5529242174629324,0.5732850796869754,38.93
KNN - Benchmark + SMOTE,0.5731551537781272,0.5345635910224439,0.57126105958853,0.5523034113160878,0.5730177529784444,3.383
KNN - BallTree + SMOTE,0.5731551537781272,0.5345635910224439,0.57126105958853,0.5523034113160878,0.5730177529784444,20.514
 KNN - FAISS + SMOTE,0.5732042841701877,0.5346238275793255,0.5711544611448672,0.5522857290109777,0.6018576641585188,28.64
